Year,Directors,Top 5 Movies,Genre
2001,Yim Soon-rye,Keeping the Vision Alive -Women in Korean,Documentary
,Yim Soon-rye,Waikiki Brothers,Action
,Jeong Jae-eun,Take Care of My Cat,Drama
2002,Lee Jeong-hyang,The Way Home,Drama
,Mi-yeon Lee,Bus Stop,Romance
,Ji-eun Mo,A Perfect Match,Rom-com
,Park Chan-ok,Jealousy Is My Middle Name,Romance
2003,Soo Yeon Lee,The Uninvited,Horror
,Lee Eon-hie,...ing,Thriller
,Yim Soon-rye,If You Were Me,Drama
,Gina Kim,Invisible Light,Drama
,Yun Jae-yeon,Wishing Stars,Horror
2004,Lisa Sleeth (Co-directed),Seoul Train,Documentary
2005,Bang Eun-jin,Princess Aurora,Thriller
2006,So Yong Kim,In Between Days,Romance
2007,Hyun-hee Sohn,The Worst Man of My Life,Rom-com
,July Jung,A Man Under the Influenza,Drama
,Mi-jung Kim,Shadows in the Palace,Thriller
,Kim Ho-jung (co-directed),My Tutor Friend 2,Rom-com
2008,Lee Han-na,Sleeping Beauty,Drama
,Yim Soon-rye,Forever the Moment,Drama
,Lee Kyoung-mi,Crush and Blush,Rom-com
2009,Hong Ji Young,The Naked Kitchen,Rom-com
,Bang Eun-jin,If You Were Me 4,Drama
,Ounie Lecomte,A Brand New Life,Thriller
,Yim Soon-rye,"Fly, Penguin",Drama
,Sun Namkoong,Worst Friend,Drama
,Park Chan-ok,Paju,Thriller
,N.C. Heikin,Kimjongilia,Documentary
2010,Chang You-jeong, Finding Mr. Destiny,Romance
,Kim Hyeong-jun,No Mercy,Thriller
,Yim Soon-rye,Rolling Home with a Bull,Romance
,Kwon Ji-Yeon,Secret Love,Romance
,Hyun-jin Lee,The House,Fantasy
2011,Yim Soon-rye,"Sorry, Thank you",Drama
2012,Bang Eun-jin,Perfect Number,Thriller
,Shin Su-won,Pluto,Thriller
2013,Gina Kim,Final Recipe,Romance
,Yim Soon-rye,Namjjog-Eulo Twieo,Thriller
,Hong Ji Young,Marriage Blue,Rom-com
,Bang Eun-jin,Way Back Home,Thriller
2014,July Jung,A Girl at My Door,Thriller
,Yim Soon-rye,Whistle Blower,Thriller
,Boo Ji Young,Cart,Drama
2015,Seo Eun Young,Overman,Romance
,Hong Sung-eun,A Beak Alone,Thriller
,Lee Kyoung-mi,The Truth Beneath,Thriller
2016,HyunJu Lee,Our Love Story,Romance
,Hong Sung-eun,Daddy's Back,Drama
,Hong Ji Young,Will you be there,Romance
,Park Young Ju,1 kilometer,Drama
,Hong Sung-eun,Horror Stories 3,Horror
,Han Sunhee,Trumpet on the Cliff,Romance
2017,Chang You-jeong,The Bros,Thriller
,Jeong Jae-eun,Butterfly Sleep,Romance
2018,Yu Eun-jeong,Ghost Walk,Fantasy
,Yim Soon-rye,Little Forest,Drama
,Kim Soo Jung,A Blue Mouthed Face,Drama
,Han Ka-ram,Our Body,Horror
2019,Park Young Ju,Second Life,Drama
,Yoon Ga-eun,The House of Us,Thriller
2020,Yoon Eun-gyeong,Hotel Lake,Horror
,Seo Eun Young,Go Back,Thriller
,Caroline Suh,Blackpink: Light Up The Sky,Documentary
2021,Seo You-min,Recalled,Thriller
,Kim Soo Jung,Unboxing Girl,Romance
,Hong Sung-eun,Aloners,Thriller
,Hong Ji Young,New Year Blues,Rom-com
2022,Hyeon-jin Park,Love and Leashes,Rom-com
,Bang Woo-ri,20th Century Girl,Romance
,July Jung,Next Sohee,Thriller
,Jeong Ji-yeon,Anchor,Thriller
,Iris Shim,Umma,Horror
,So Yun Um,Liquor Store Dreams,Documentary
,Kim Soo Jung,Semantic Error: The Movie,Romance
,Julie Ha,Free Chol Soo Lee,Documentary
2023,Yim Soon-rye,The Point Men,Action
,Past Lives,Celine Song,Romance
